Title: "SJR.csv"
11783,PST,'RIVER STAGE (feet)'
20081024,0915,0.00
20081024,0930,0.00
20081024,0945,0.00
20081024,1000,0.00
20081024,1015,0.00
20081024,1030,0.00
20081024,1045,0.00
20081024,1100,0.00
20081024,1115,0.00
20081024,1130,0.00
20081024,1145,0.00
20081024,1200,0.00
20081024,1215,0.00
20081024,1230,0.00
20081024,1245,0.00
20081024,1300,0.00
20081024,1315,0.00
20081024,1330,0.00
20081024,1345,0.00
20081024,1400,0.00
20081024,1415,0.00
20081024,1430,0.00
20081024,1445,0.00
20081024,1500,0.00
20081024,1515,0.00
20081024,1530,0.00
20081024,1545,0.00
20081024,1600,0.00
20081024,1615,0.00
20081024,1630,0.00
20081024,1645,0.00
20081024,1700,0.00
20081024,1715,0.00
20081024,1730,0.00
20081024,1745,0.00
20081024,1800,0.00
20081024,1815,0.00
20081024,1830,0.00
20081024,1845,0.00
20081024,1900,0.00
20081024,1915,0.00
20081024,1930,0.00
20081024,1945,0.00
20081024,2000,0.00
20081024,2015,0.00
20081024,2030,0.00
20081024,2045,0.00
20081024,2100,0.00
20081024,2115,0.00
20081024,2130,0.00
20081024,2145,0.00
20081024,2200,0.00
20081024,2215,0.00
20081024,2230,0.00
20081024,2245,0.00
20081024,2300,0.00
20081024,2315,0.00
20081024,2330,0.00
20081024,2345,0.00
20081025,0000,0.00
20081025,0015,0.00
20081025,0030,0.00
20081025,0045,0.00
20081025,0100,0.00
20081025,0115,0.00
20081025,0130,0.00
20081025,0145,0.00
20081025,0200,0.00
20081025,0215,0.00
20081025,0230,0.00
20081025,0245,0.00
20081025,0300,0.00
20081025,0315,0.00
20081025,0330,0.00
20081025,0345,0.00
20081025,0400,0.00
20081025,0415,0.00
20081025,0430,0.00
20081025,0445,0.00
20081025,0500,0.00
20081025,0515,0.00
20081025,0530,0.00
20081025,0545,0.00
20081025,0600,0.00
20081025,0615,0.00
20081025,0630,0.00
20081025,0645,0.00
20081025,0700,0.00
20081025,0715,0.00
20081025,0730,0.00
20081025,0745,0.00
20081025,0800,0.00
20081025,0815,0.00
20081025,0830,0.00
20081025,0845,0.00
20081025,0900,0.00
20081025,0915,0.00
