STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
JER,E,100,EL COND,20191201 2115,20191201 2115,2697, ,uS/cm
JER,E,100,EL COND,20191201 2130,20191201 2130,2678, ,uS/cm
JER,E,100,EL COND,20191201 2145,20191201 2145,2611, ,uS/cm
JER,E,100,EL COND,20191201 2200,20191201 2200,2327, ,uS/cm
JER,E,100,EL COND,20191201 2215,20191201 2215,2178, ,uS/cm
JER,E,100,EL COND,20191201 2230,20191201 2230,1848, ,uS/cm
JER,E,100,EL COND,20191201 2245,20191201 2245,1352, ,uS/cm
JER,E,100,EL COND,20191201 2300,20191201 2300,1141, ,uS/cm
JER,E,100,EL COND,20191201 2315,20191201 2315,1014, ,uS/cm
JER,E,100,EL COND,20191201 2330,20191201 2330,955, ,uS/cm
JER,E,100,EL COND,20191201 2345,20191201 2345,910, ,uS/cm
JER,E,100,EL COND,20191202 0000,20191202 0000,873, ,uS/cm
JER,E,100,EL COND,20191202 0015,20191202 0015,812, ,uS/cm
JER,E,100,EL COND,20191202 0030,20191202 0030,738, ,uS/cm
JER,E,100,EL COND,20191202 0045,20191202 0045,651, ,uS/cm
JER,E,100,EL COND,20191202 0100,20191202 0100,599, ,uS/cm
JER,E,100,EL COND,20191202 0115,20191202 0115,551, ,uS/cm
JER,E,100,EL COND,20191202 0130,20191202 0130,516, ,uS/cm
JER,E,100,EL COND,20191202 0145,20191202 0145,489, ,uS/cm
JER,E,100,EL COND,20191202 0200,20191202 0200,470, ,uS/cm
JER,E,100,EL COND,20191202 0215,20191202 0215,450, ,uS/cm
JER,E,100,EL COND,20191202 0230,20191202 0230,437, ,uS/cm
JER,E,100,EL COND,20191202 0245,20191202 0245,426, ,uS/cm
JER,E,100,EL COND,20191202 0300,20191202 0300,416, ,uS/cm
JER,E,100,EL COND,20191202 0315,20191202 0315,396, ,uS/cm
JER,E,100,EL COND,20191202 0330,20191202 0330,393, ,uS/cm
JER,E,100,EL COND,20191202 0345,20191202 0345,416, ,uS/cm
JER,E,100,EL COND,20191202 0400,20191202 0400,462, ,uS/cm
JER,E,100,EL COND,20191202 0415,20191202 0415,587, ,uS/cm
JER,E,100,EL COND,20191202 0430,20191202 0430,660, ,uS/cm
JER,E,100,EL COND,20191202 0445,20191202 0445,656, ,uS/cm
JER,E,100,EL COND,20191202 0500,20191202 0500,513, ,uS/cm
JER,E,100,EL COND,20191202 0515,20191202 0515,484, ,uS/cm
JER,E,100,EL COND,20191202 0530,20191202 0530,475, ,uS/cm
JER,E,100,EL COND,20191202 0545,20191202 0545,470, ,uS/cm
JER,E,100,EL COND,20191202 0600,20191202 0600,477, ,uS/cm
JER,E,100,EL COND,20191202 0615,20191202 0615,484, ,uS/cm
JER,E,100,EL COND,20191202 0630,20191202 0630,486, ,uS/cm
JER,E,100,EL COND,20191202 0645,20191202 0645,491, ,uS/cm
JER,E,100,EL COND,20191202 0700,20191202 0700,515, ,uS/cm
JER,E,100,EL COND,20191202 0715,20191202 0715,554, ,uS/cm
JER,E,100,EL COND,20191202 0730,20191202 0730,611, ,uS/cm
JER,E,100,EL COND,20191202 0745,20191202 0745,647, ,uS/cm
JER,E,100,EL COND,20191202 0800,20191202 0800,699, ,uS/cm
JER,E,100,EL COND,20191202 0815,20191202 0815,739, ,uS/cm
JER,E,100,EL COND,20191202 0830,20191202 0830,782, ,uS/cm
JER,E,100,EL COND,20191202 0845,20191202 0845,864, ,uS/cm
JER,E,100,EL COND,20191202 0900,20191202 0900,948, ,uS/cm
JER,E,100,EL COND,20191202 0915,20191202 0915,1082, ,uS/cm
JER,E,100,EL COND,20191202 0930,20191202 0930,1194, ,uS/cm
JER,E,100,EL COND,20191202 0945,20191202 0945,1324, ,uS/cm
JER,E,100,EL COND,20191202 1000,20191202 1000,1452, ,uS/cm
JER,E,100,EL COND,20191202 1015,20191202 1015,1549, ,uS/cm
JER,E,100,EL COND,20191202 1030,20191202 1030,1721, ,uS/cm
JER,E,100,EL COND,20191202 1045,20191202 1045,1852, ,uS/cm
JER,E,100,EL COND,20191202 1100,20191202 1100,1972, ,uS/cm
JER,E,100,EL COND,20191202 1115,20191202 1115,2020, ,uS/cm
JER,E,100,EL COND,20191202 1130,20191202 1130,1657, ,uS/cm
JER,E,100,EL COND,20191202 1145,20191202 1145,1595, ,uS/cm
JER,E,100,EL COND,20191202 1200,20191202 1200,1572, ,uS/cm
JER,E,100,EL COND,20191202 1215,20191202 1215,1522, ,uS/cm
JER,E,100,EL COND,20191202 1230,20191202 1230,1537, ,uS/cm
JER,E,100,EL COND,20191202 1245,20191202 1245,1576, ,uS/cm
JER,E,100,EL COND,20191202 1300,20191202 1300,1511, ,uS/cm
JER,E,100,EL COND,20191202 1315,20191202 1315,1428, ,uS/cm
JER,E,100,EL COND,20191202 1330,20191202 1330,1259, ,uS/cm
JER,E,100,EL COND,20191202 1345,20191202 1345,1136, ,uS/cm
JER,E,100,EL COND,20191202 1400,20191202 1400,1015, ,uS/cm
JER,E,100,EL COND,20191202 1415,20191202 1415,912, ,uS/cm
JER,E,100,EL COND,20191202 1430,20191202 1430,867, ,uS/cm
JER,E,100,EL COND,20191202 1445,20191202 1445,805, ,uS/cm
JER,E,100,EL COND,20191202 1500,20191202 1500,801, ,uS/cm
JER,E,100,EL COND,20191202 1515,20191202 1515,771, ,uS/cm
JER,E,100,EL COND,20191202 1530,20191202 1530,776, ,uS/cm
JER,E,100,EL COND,20191202 1545,20191202 1545,758, ,uS/cm
JER,E,100,EL COND,20191202 1600,20191202 1600,744, ,uS/cm
JER,E,100,EL COND,20191202 1615,20191202 1615,751, ,uS/cm
JER,E,100,EL COND,20191202 1630,20191202 1630,813, ,uS/cm
JER,E,100,EL COND,20191202 1645,20191202 1645,961, ,uS/cm
JER,E,100,EL COND,20191202 1700,20191202 1700,1068, ,uS/cm
JER,E,100,EL COND,20191202 1715,20191202 1715,1116, ,uS/cm
JER,E,100,EL COND,20191202 1730,20191202 1730,1115, ,uS/cm
JER,E,100,EL COND,20191202 1745,20191202 1745,1116, ,uS/cm
JER,E,100,EL COND,20191202 1800,20191202 1800,1013, ,uS/cm
JER,E,100,EL COND,20191202 1815,20191202 1815,1187, ,uS/cm
JER,E,100,EL COND,20191202 1830,20191202 1830,1229, ,uS/cm
JER,E,100,EL COND,20191202 1845,20191202 1845,1285, ,uS/cm
JER,E,100,EL COND,20191202 1900,20191202 1900,1563, ,uS/cm
JER,E,100,EL COND,20191202 1915,20191202 1915,1606, ,uS/cm
JER,E,100,EL COND,20191202 1930,20191202 1930,1887, ,uS/cm
JER,E,100,EL COND,20191202 1945,20191202 1945,2012, ,uS/cm
JER,E,100,EL COND,20191202 2000,20191202 2000,1944, ,uS/cm
JER,E,100,EL COND,20191202 2015,20191202 2015,2187, ,uS/cm
JER,E,100,EL COND,20191202 2030,20191202 2030,2254, ,uS/cm
JER,E,100,EL COND,20191202 2045,20191202 2045,2260, ,uS/cm
JER,E,100,EL COND,20191202 2100,20191202 2100,2159, ,uS/cm
JER,E,100,EL COND,20191202 2115,20191202 2115,2138, ,uS/cm
JER,E,100,EL COND,20191202 2130,20191202 2130,2026, ,uS/cm
JER,E,100,EL COND,20191202 2145,20191202 2145,2063, ,uS/cm
JER,E,100,EL COND,20191202 2200,20191202 2200,2005, ,uS/cm
JER,E,100,EL COND,20191202 2215,20191202 2215,2013, ,uS/cm
JER,E,100,EL COND,20191202 2230,20191202 2230,1858, ,uS/cm
JER,E,100,EL COND,20191202 2245,20191202 2245,1426, ,uS/cm
JER,E,100,EL COND,20191202 2300,20191202 2300,1213, ,uS/cm
JER,E,100,EL COND,20191202 2315,20191202 2315,1079, ,uS/cm
JER,E,100,EL COND,20191202 2330,20191202 2330,987, ,uS/cm
JER,E,100,EL COND,20191202 2345,20191202 2345,897, ,uS/cm
JER,E,100,EL COND,20191203 0000,20191203 0000,837, ,uS/cm
JER,E,100,EL COND,20191203 0015,20191203 0015,777, ,uS/cm
JER,E,100,EL COND,20191203 0030,20191203 0030,725, ,uS/cm
JER,E,100,EL COND,20191203 0045,20191203 0045,684, ,uS/cm
JER,E,100,EL COND,20191203 0100,20191203 0100,649, ,uS/cm
JER,E,100,EL COND,20191203 0115,20191203 0115,610, ,uS/cm
JER,E,100,EL COND,20191203 0130,20191203 0130,573, ,uS/cm
JER,E,100,EL COND,20191203 0145,20191203 0145,538, ,uS/cm
JER,E,100,EL COND,20191203 0200,20191203 0200,511, ,uS/cm
JER,E,100,EL COND,20191203 0215,20191203 0215,493, ,uS/cm
JER,E,100,EL COND,20191203 0230,20191203 0230,473, ,uS/cm
JER,E,100,EL COND,20191203 0245,20191203 0245,458, ,uS/cm
JER,E,100,EL COND,20191203 0300,20191203 0300,446, ,uS/cm
JER,E,100,EL COND,20191203 0315,20191203 0315,437, ,uS/cm
JER,E,100,EL COND,20191203 0330,20191203 0330,429, ,uS/cm
JER,E,100,EL COND,20191203 0345,20191203 0345,426, ,uS/cm
JER,E,100,EL COND,20191203 0400,20191203 0400,425, ,uS/cm
JER,E,100,EL COND,20191203 0415,20191203 0415,421, ,uS/cm
JER,E,100,EL COND,20191203 0430,20191203 0430,419, ,uS/cm
JER,E,100,EL COND,20191203 0445,20191203 0445,422, ,uS/cm
JER,E,100,EL COND,20191203 0500,20191203 0500,440, ,uS/cm
JER,E,100,EL COND,20191203 0515,20191203 0515,464, ,uS/cm
JER,E,100,EL COND,20191203 0530,20191203 0530,489, ,uS/cm
JER,E,100,EL COND,20191203 0545,20191203 0545,478, ,uS/cm
JER,E,100,EL COND,20191203 0600,20191203 0600,470, ,uS/cm
JER,E,100,EL COND,20191203 0615,20191203 0615,466, ,uS/cm
JER,E,100,EL COND,20191203 0630,20191203 0630,472, ,uS/cm
JER,E,100,EL COND,20191203 0645,20191203 0645,475, ,uS/cm
JER,E,100,EL COND,20191203 0700,20191203 0700,478, ,uS/cm
JER,E,100,EL COND,20191203 0715,20191203 0715,488, ,uS/cm
JER,E,100,EL COND,20191203 0730,20191203 0730,495, ,uS/cm
JER,E,100,EL COND,20191203 0745,20191203 0745,512, ,uS/cm
JER,E,100,EL COND,20191203 0800,20191203 0800,554, ,uS/cm
JER,E,100,EL COND,20191203 0815,20191203 0815,581, ,uS/cm
JER,E,100,EL COND,20191203 0830,20191203 0830,618, ,uS/cm
JER,E,100,EL COND,20191203 0845,20191203 0845,633, ,uS/cm
JER,E,100,EL COND,20191203 0900,20191203 0900,648, ,uS/cm
